CJD.CB_vs_CJD.FC	AveExpr	F	P.Value	adj.P.Val
TBR1	5.91663333333333	7.4963	2201.55906647607	7.85390570921233e-47	6.28312456736986e-44
NRGN	8.46537619047618	9.51913043478261	711.502887125616	1.77165213319679e-36	7.08660853278714e-34
TSPAN18	-3.87122261904762	6.34739347826087	591.186555266173	8.49842330530974e-35	2.26624621474927e-32
FGF13	4.12497857142857	6.69317608695652	540.743080325002	5.44558526511325e-34	1.08911705302265e-31
IRF6	-3.91420833333334	6.36594782608696	501.738659070874	2.58078825366425e-33	4.12926120586281e-31
TP73	-2.49781666666667	5.45997608695652	404.612238497559	2.21472065125025e-31	2.95296086833366e-29
LINGO1	2.80619523809524	9.02363695652174	386.368446435673	5.73029815012159e-31	6.54891217156753e-29
DLX1	2.69599999999999	6.01054130434783	382.99459903962	6.86407604795546e-31	6.86407604795546e-29
MEF2C	3.40048690476191	10.0023326086957	306.362096384306	6.65707821797628e-29	5.91740286042336e-27
ETS2	1.94178571428571	10.0635413043478	301.012541621792	9.53325302003532e-29	7.62660241602826e-27
CHN2	-2.744	10.001797826087	282.857586114564	3.38033154563712e-28	2.45842294228154e-26
PIK3R1	2.13616428571429	11.3092652173913	276.22964362111	5.47079830650653e-28	3.64719887100436e-26
RELN	-4.90514523809525	10.3750108695652	269.383831001063	9.10078196741735e-28	5.60048121071837e-26
CX3CL1	3.07824880952381	8.38988260869565	241.297397258095	8.4216269106795e-27	4.812358234674e-25
KDM4C	-1.97370952380953	9.3310652173913	231.674902576849	1.91003622147744e-26	1.01868598478797e-24
DAPK1	2.60232976190476	7.83275434782609	202.278362890746	2.88739242416292e-25	1.44369621208146e-23
E2F1	2.27636547619047	5.59443695652174	189.032676205198	1.10982355440261e-24	5.22269907954168e-23
GRIN2B	3.91649999999999	7.66949347826087	161.524799906674	2.46519056130112e-23	1.09564024946717e-21
SERPINF1	4.10054880952381	8.01644347826087	160.191165283137	2.89986645943521e-23	1.22099640397272e-21
IL1RAP	2.40986785714286	7.13732608695652	155.634915746522	5.09864849765334e-23	2.03945939906134e-21
PPFIA4	-1.79118333333333	9.40977391304348	151.416040992866	8.71575797737825e-23	3.32028875328695e-21
RTN4RL1	1.80332142857143	7.4597152173913	146.66543666595	1.62066146098545e-22	5.63708334255809e-21
ADAMTS16	-3.72285476190476	6.54851304347826	146.188785378833	1.72646573171665e-22	5.75488577238883e-21
ISLR2	2.97919523809524	6.0880152173913	139.513845511756	4.27144044655015e-22	1.36686094289605e-20
CCNG2	-1.48163095238095	10.3317565217391	133.245917429344	1.0371252262423e-21	3.19115454228399e-20
FSCN1	2.6476869047619	8.97695434782609	119.889684476444	7.84053814879317e-21	2.16290707552915e-19
SUV39H2	-1.45139166666667	8.23007391304348	113.040080529081	2.39524557979244e-20	6.38732154611317e-19
PACSIN1	1.24954761904762	11.9224782608696	112.611240149244	2.57380159230768e-20	6.64206862531015e-19
BCL2L2	1.22813928571428	9.71944782608696	110.785391324408	3.50516504056973e-20	8.53461128781077e-19
LDLRAD3	-1.45542142857143	8.42242173913044	110.655616723955	3.58357396335159e-20	8.53461128781077e-19
RAB6B	1.62626071428571	11.1335760869565	110.584676292198	3.62720979731958e-20	8.53461128781077e-19
ARHGAP24	2.39306547619047	5.80975217391304	107.267915721503	6.43739711927253e-20	1.44310687076409e-18
PLD1	2.21109047619048	5.85262391304348	107.218003304607	6.49398091843841e-20	1.44310687076409e-18
DLX2	1.84098571428571	5.38884782608696	100.185505065201	2.31314805346191e-19	5.0014011966744e-18
LMNB1	-1.92504523809524	8.80481739130435	99.0939379383148	2.8369635589674e-19	5.97255486098401e-18
DUSP7	1.610925	8.67094565217391	98.4531020385308	3.20107360146127e-19	6.40214720292254e-18
FANCC	-2.43557142857143	5.81220869565217	96.1468351306677	4.97182705462756e-19	9.7011259602489e-18
MAPT	1.15903571428571	11.7335652173913	95.8908362092015	5.22380179778272e-19	9.95009866244328e-18
NRP2	2.02457738095238	7.04055	94.058155037688	7.46726730548418e-19	1.38925903357845e-17
ARC	3.06097261904762	6.59151086956522	92.6729588607839	9.82185182900392e-19	1.74610699182292e-17
MAPK10	1.42457619047618	11.0767782608696	91.2967507117664	1.29414739453984e-18	2.25069112093885e-17
GRM2	2.71026547619047	6.93594347826087	89.6874131473315	1.79496476849462e-18	3.05525918041637e-17
APC	1.00581785714285	10.3548413043478	89.2902520685159	1.94739632135423e-18	3.24566053559038e-17
SALL1	2.35869880952381	6.20235434782609	88.4321818541516	2.32486066601018e-18	3.71977706561629e-17
CAMK4	-2.16560476190476	9.8711	87.4325717369538	2.86314241069402e-18	4.49120378148082e-17
PRKCQ	1.78630357142856	5.37593913043478	85.5244814922844	4.28523592317717e-18	6.59267065104181e-17
PIK3R2	1.82663214285714	9.45503043478261	85.1494478262341	4.64289299730905e-18	7.00814037329668e-17
MFGE8	1.61549642857142	8.79049565217391	84.2883366225239	5.58755888334044e-18	8.27786501235621e-17
LACC1	1.8864369047619	6.53674782608696	78.8448615054203	1.87270230219221e-17	2.72393062137049e-16
GRIA4	-1.76849047619048	11.1979956521739	78.170778337252	2.18589379780045e-17	3.12270542542921e-16
VIM	2.65255714285714	10.2319913043478	77.7465782039693	2.41070135046134e-17	3.38344049187556e-16
DOCK1	2.1201369047619	8.82110869565217	77.3321334129811	2.65380443139863e-17	3.66041990537742e-16
CFLAR	-1.40007142857143	7.84539565217391	75.9494295464995	3.66816617472776e-17	4.89088823297035e-16
PRKAR2B	1.74937738095237	9.49656304347826	75.6757501778223	3.91316552226757e-17	5.13202035707223e-16
CREM	1.14207380952381	8.19268913043478	74.6053629067388	5.04860790544781e-17	6.51433278122298e-16
BAD	1.17854166666666	9.27251304347826	73.1124032421945	7.239872584452e-17	9.19348899612953e-16
RALB	1.28919642857143	9.68283913043478	71.9283930606757	9.67824632545182e-17	1.20978079068148e-15
PINK1	1.53180833333333	10.6558195652174	68.2657577512251	2.43765091879529e-16	3.00018574620959e-15
TARBP2	-1.18578571428572	7.75073260869565	68.1264276512897	2.52685383325963e-16	3.03509252351114e-15
GRM3	2.16412023809523	8.78402608695652	68.1034498976889	2.54188998844058e-16	3.03509252351114e-15
CNTNAP2	1.40001547619047	8.8655347826087	65.9340923826975	4.48432237358289e-16	5.27567338068576e-15
PILRA	-1.34465952380953	7.80217391304348	65.2486138098366	5.3824468613455e-16	6.24051810011072e-15
SLC17A7	1.57735357142857	11.4630195652174	64.6889964908586	6.25476585394325e-16	7.148303833078e-15
AMIGO2	1.73814642857142	6.53869782608696	64.2327522565241	7.07512112236072e-16	7.97196746181489e-15
TP53BP2	1.79991309523809	9.10649130434783	62.4823180836245	1.14285352839012e-15	1.2698372537668e-14
OPTN	1.14134523809524	10.9447260869565	61.8338230687566	1.36881832590981e-15	1.46007288097046e-14
RIPK2	1.49555238095238	6.76517608695652	59.854854134409	2.39677197634985e-15	2.49015270270115e-14
SPINT1	-2.12019523809524	5.87301304347826	57.7831092751724	4.37853647694462e-15	4.49080664302013e-14
PRDX1	1.14560714285713	12.2726304347826	57.6998658108878	4.48745284197433e-15	4.54425604250565e-14
PROS1	1.68433214285714	6.7804	57.5210657712037	4.73109510719233e-15	4.73109510719233e-14
HDAC1	1.58139523809523	7.38874782608696	57.4104990655904	4.88865374166962e-15	4.82829999177246e-14
MERTK	1.91219761904761	8.62954347826087	56.9502009850188	5.60602714106885e-15	5.46929477177449e-14
BNIP3	1.05819404761905	11.0885891304348	56.2840541937578	6.845329454503e-15	6.5979079079547e-14
EEF2K	-1.26571071428572	8.64839565217391	55.0455729487198	9.97336462993351e-15	9.49844250469859e-14
FKBP5	2.23797142857143	8.40864347826087	53.5184446861296	1.60111894632457e-14	1.45556267847689e-13
STMN1	1.63639285714285	12.2754347826087	50.8710076346351	3.7322139901093e-14	3.24679705911121e-13
GCLC	1.06433452380952	8.78519565217391	50.8696910333641	3.7338166179779e-14	3.24679705911121e-13
OLIG2	2.01334761904762	8.62573260869565	50.830459158037	3.78190349774358e-14	3.25325032063964e-13
MAFB	2.0819988095238	6.49517826086957	50.6834221804258	3.96797415829984e-14	3.30664513191654e-13
HIST1H1D	-1.41306547619048	8.01502608695652	50.2062360551601	4.64072533568095e-14	3.82740233870593e-13
TMC7	-1.10328333333334	7.59117391304348	50.025546708206	4.9257390273103e-14	4.02101145086555e-13
NWD1	2.62270476190476	6.22851304347826	49.9424532503154	5.06290291757979e-14	4.09123468087255e-13
ESAM	1.21304761904762	7.87037826086957	49.2371499591537	6.40130071981145e-14	5.12104057584916e-13
GADD45A	2.20700833333333	7.95152826086957	48.9784118483373	6.98103922165246e-14	5.50618033074076e-13
SLC44A1	1.18645476190476	8.98154782608696	48.9616769655686	7.02037992169447e-14	5.50618033074076e-13
MOBP	2.89588809523809	10.4572608695652	48.6930787595764	7.68457158671575e-14	5.96859929065301e-13
SLC17A6	1.10179404761904	5.59459565217391	48.337449170412	8.66674203410996e-14	6.66672464162304e-13
TRADD	1.75908809523809	5.21382826086957	47.7929106757866	1.0433089425394e-13	7.94902051458593e-13
BCAS1	2.63718095238094	9.27420434782609	47.624350771961	1.10532814775585e-13	8.26413568415592e-13
MAL	2.51888095238095	7.57432826086957	47.2639333658569	1.25124428198291e-13	9.18344427143423e-13
SYP	1.35786904761904	11.5363043478261	47.2181548265284	1.2711721640896e-13	9.24488846610616e-13
CABLES1	2.15003571428571	8.97890869565217	46.3882438738203	1.69627252702157e-13	1.22253875821375e-12
EZH1	-1.00061428571429	9.63973043478261	45.1706882160231	2.60867577888766e-13	1.86333984206262e-12
CLIC4	1.56194761904762	9.22021086956522	44.7559447769045	3.02664280457672e-13	2.12395986286086e-12
RAPGEF3	2.36971190476191	7.5882847826087	44.6224699748148	3.17561427593779e-13	2.20912297456542e-12
NEFL	3.19515476190476	10.6047869565217	44.5792926834862	3.22543159992074e-13	2.22443558615223e-12
OPALIN	3.31069285714285	8.00010869565217	43.8036562773676	4.27435606646709e-13	2.89786851963871e-12
HRK	2.26176428571428	5.3842152173913	43.7554305238403	4.35037888667784e-13	2.92462446163216e-12
PPP3R1	1.00027380952381	13.0866304347826	43.6960094549877	4.44600070936766e-13	2.96400047291177e-12
BIRC3	1.92298333333333	5.15695217391304	43.396554578916	4.96251194308915e-13	3.28099963179448e-12
PADI2	2.28257380952381	6.93938260869565	42.3026696677506	7.45031973331417e-13	4.84573641191165e-12
CNP	2.06849404761905	11.0530413043478	42.1836981779639	7.79061429657704e-13	4.94665577732532e-12
PLEKHB1	2.19095238095237	11.1638543478261	42.0148779123502	8.30166715190117e-13	5.22939663111885e-12
JAG1	1.33386071428571	5.84402391304348	41.8836840831265	8.72299395718163e-13	5.45187122323852e-12
BARD1	1.91041309523809	5.66415	41.815955261272	8.94920714801395e-13	5.54989590574509e-12
NQO1	2.08351547619047	8.22292826086957	41.463330464787	1.02303485962561e-12	6.29559913615758e-12
RSAD2	2.1710369047619	5.84905869565217	40.7613244733383	1.3386270219874e-12	8.10100335690039e-12
JAM2	1.37082142857143	8.78737173913044	40.7455494189008	1.34679180808469e-12	8.10100335690039e-12
KIT	-1.15157619047619	7.39039782608696	40.0052739842756	1.79506243797971e-12	1.06374070398797e-11
TMEM173	1.61468214285714	5.98277391304348	39.8550006839265	1.90377189965756e-12	1.10363588385945e-11
NFKB2	1.59870119047619	5.97003695652174	39.6465406982689	2.06611336118021e-12	1.18268323811755e-11
CDKN1C	1.81558928571428	6.53749347826087	39.6421363269476	2.06969566670571e-12	1.18268323811755e-11
KCNJ10	2.52999523809524	7.35561086956522	39.3574710205472	2.31559083596603e-12	1.31381040338498e-11
AXL	1.84943571428571	8.583	39.1554078640283	2.5085650764665e-12	1.41327609941775e-11
SNCA	1.28802499999999	10.4597347826087	38.5944309271183	3.13779043213811e-12	1.75540723476258e-11
GAL3ST1	2.01084285714286	6.42279565217391	38.1141164427282	3.80768375710118e-12	2.11537986505621e-11
TP53	1.27801428571428	6.6191347826087	38.0465097872217	3.91336764958510e-12	2.14431104086855e-11
COX5B	1.10410714285714	12.3411304347826	38.0281874922681	3.94253498121546e-12	2.14559726868868e-11
SOX10	2.13484642857143	6.52140652173913	37.1683680170179	5.60251300563766e-12	2.96821881093386e-11
ASB2	1.50926428571428	5.36300217391304	36.9649692993068	6.09330018244492e-12	3.20700009602365e-11
NPTX1	-1.53235000000001	11.3499804347826	36.6700667585373	6.88627124639971e-12	3.57728376436349e-11
F3	3.17782380952381	8.03998043478261	36.1475658915008	8.56786122773238e-12	4.39377498858071e-11
ANAPC15	1.47829047619047	6.52508043478261	36.1130343346193	8.69316055065041e-12	4.42963594937601e-11
PNOC	1.12548571428571	5.28629347826087	36.0152541688263	9.05847386528867e-12	4.58656904571578e-11
HELLS	-2.34385476190477	7.08096739130435	35.872642218427	9.6203474083356e-12	4.84042636897388e-11
INPP5D	1.52461428571428	6.57570217391304	35.6870060361769	1.0406904720195e-11	5.20345236009748e-11
BDNF	-1.88960833333334	6.89199565217391	35.5786421754688	1.08969060483593e-11	5.41461170104807e-11
PMP22	1.74609047619047	9.20933260869565	35.5229840278277	1.11579116909031e-11	5.51007984735958e-11
TM4SF1	1.278525	6.11162391304348	35.4428395466078	1.154529603803e-11	5.66640296345033e-11
TLR2	1.58456071428571	5.9738847826087	35.320543392761	1.21637771035275e-11	5.93354980659876e-11
PLXDC2	1.74962976190475	9.33760869565217	35.0328074753754	1.37597006266565e-11	6.67137000080315e-11
OSMR	1.30144523809524	7.18498913043478	35.0066758841484	1.39151121620176e-11	6.70607815036993e-11
IFIH1	1.67799642857143	5.80999782608696	34.9338024908644	1.43582920488133e-11	6.87822373595847e-11
SOD2	1.36157142857142	11.698652173913	34.3004829477632	1.88921642786234e-11	8.9430363449105e-11
TNFRSF1A	1.27451666666666	8.19551739130435	34.2151097819772	1.96094154410533e-11	9.2279602075545e-11
GDPD2	2.06598095238095	5.66602826086956	32.6414659680123	3.94372035867847e-11	1.83428853892022e-10
NPL	1.447475	6.60690434782609	31.9420383900533	5.42018520947694e-11	2.50644402750379e-10
PTGER3	2.11203928571428	5.3291347826087	31.6966516848669	6.06676318114847e-11	2.78931640512573e-10
TMCC3	1.48813095238095	6.62987173913043	31.6499481078389	6.19871061881605e-11	2.83369628288734e-10
IFITM3	1.56532023809523	10.4914608695652	31.2316308226365	7.52345910713481e-11	3.40043349475019e-10
PECAM1	1.25694404761904	8.54569565217391	31.1745299631673	7.72607026164369e-11	3.46485580654662e-10
TLR4	1.8421369047619	7.55143260869565	31.167165362843	7.75261486714806e-11	3.46485580654662e-10
