CJD.CB_vs_CJD.FC	AveExpr	F	P.Value	adj.P.Val
RAD51B	1.31199642857143	6.49302608695652	30.9137537608131	8.72666984147603e-11	3.83589883141804e-10
PSMB8	1.63752619047619	6.93778913043478	30.8232829128291	9.10474811097273e-11	3.9802177534307e-10
PLLP	1.91484047619047	7.66979347826087	30.7806442395496	9.28884212139067e-11	4.03862700930029e-10
POLE	-1.84082023809524	7.88955	30.5164787908404	1.05197168724315e-10	4.54906675564606e-10
GRN	1.30211428571428	8.7156	30.492537779733	1.06394059076962e-10	4.57608856244999e-10
PLP1	2.49330238095238	12.2575173913043	30.4089476989047	1.10685976543528e-10	4.73522894303863e-10
CD209	-1.2745380952381	5.01702826086957	30.2648901579947	1.1851314208906e-10	5.01642929477503e-10
S1PR5	2.35442857142857	6.17279565217391	29.8551732434436	1.44106206369893e-10	6.00442526541222e-10
MYRF	2.43656547619047	8.28370869565217	29.4053802620151	1.7897984313305e-10	7.41885360136995e-10
RPS2	1.01244047619048	11.7512391304348	29.295997343819	1.88728451881752e-10	7.7427057182257e-10
BRCA1	1.24043452380952	5.27734782608696	29.1887117308768	1.98831135341675e-10	8.11555654455818e-10
C3AR1	1.49349642857143	6.08465652173913	29.1435116599008	2.03255453116059e-10	8.21234154004278e-10
ERBB3	1.58557142857143	5.18967173913043	28.779735162573	2.42841867866875e-10	9.66534797480101e-10
HSPB1	1.92506428571428	9.05443478260869	28.7291197206489	2.48958713016118e-10	9.85975101053933e-10
TGFB1	1.5750869047619	7.85115217391304	28.0075363378563	3.56060920378252e-10	1.3895060307444e-09
S1PR3	1.50813928571428	6.18587391304348	27.8561140891077	3.84118407843164e-10	1.48746452465587e-09
LGMN	1.61017857142857	8.9702	27.8392450937443	3.87384337388366e-10	1.48993975918602e-09
CCL2	1.84172023809523	5.57789130434783	27.7405458671486	4.07084560724356e-10	1.55079832656898e-09
HDAC4	1.32334642857142	9.06067391304348	27.5585297319887	4.46214073728763e-10	1.69180691461143e-09
CASP7	1.39418571428571	6.35150652173913	27.1138018379251	5.59311560344038e-10	2.11060966167562e-09
SOCS3	1.26276547619047	6.2939	27.0322653363715	5.83114469650907e-10	2.18972500922417e-09
C1QA	1.52444761904761	6.47542173913043	26.8662995638599	6.34899243323431e-10	2.35147867897567e-09
FCGR1A	1.63074166666666	6.99636086956522	26.5311376391392	7.54701045798384e-10	2.78230800294335e-09
GPR62	1.5796619047619	5.60971304347826	26.2775901851758	8.60931749678055e-10	3.14495616320751e-09
EBI3	1.73636309523809	5.4233	26.2482426229606	8.74201320805307e-10	3.17891389383748e-09
BCL2	1.64176190476191	7.95011086956522	26.0131599584703	9.88537064630392e-10	3.56229572839781e-09
RPS9	1.09193571428571	10.4793086956522	25.5897479947703	1.23570835859499e-09	4.41324413783925e-09
HLA-E	1.38666309523809	9.16122608695652	25.5310936123301	1.27474172538768e-09	4.53241502360066e-09
SOX9	1.58006428571428	9.66118043478261	25.2255917556624	1.49998513647811e-09	5.28629122987882e-09
OAS1	1.72549285714286	6.46771739130435	25.0882739441055	1.61444967729944e-09	5.61547713843283e-09
NGFR	-1.09112142857143	6.61835652173913	25.0448383409875	1.65253091937274e-09	5.72305080302249e-09
PLD2	1.10873452380952	5.35824130434783	24.8878343274231	1.7982078590513e-09	6.14771917624376e-09
TET1	-1.02188928571429	7.24861086956522	24.5312842743324	2.18122837927825e-09	7.42545831243659e-09
TNFRSF1B	1.28310119047619	6.03317608695652	24.3739128838992	2.37659907051227e-09	8.0562680356348e-09
IRAK1	1.42401309523809	7.97349565217391	24.2849910677312	2.49501048338014e-09	8.42197631520722e-09
SPP1	1.38960833333333	10.2251934782609	24.2065692936607	2.60456398352782e-09	8.75483691942123e-09
CD84	1.43011071428571	6.19900652173913	24.1611770182153	2.67026549230317e-09	8.93812717088927e-09
EMCN	1.222075	6.02654130434783	24.0405726052775	2.85339519813429e-09	9.47185128011383e-09
SLC2A5	1.25623809523809	6.00885652173913	23.8666908139088	3.14088536306779e-09	1.0383092109315e-08
C1QC	1.51182976190476	7.16013043478261	23.6648052008787	3.51310283914201e-09	1.1565770663842e-08
CYP7B1	1.09427857142857	7.39880652173913	23.649453898389	3.54323296877365e-09	1.16171572746677e-08
TRPM4	1.2089619047619	6.30425	23.448121535803	3.96440365903774e-09	1.28401737944542e-08
HMOX1	1.04740714285714	6.25522391304348	23.4060445762205	4.05886271324953e-09	1.30357380172397e-08
MOG	2.5327630952381	8.1428652173913	23.403480738486	4.0646938968749e-09	1.30357380172397e-08
TIE1	1.58964166666666	5.95347391304348	23.3995424840082	4.0736681303874e-09	1.30357380172397e-08
TMEM144	2.08550714285714	8.58528695652174	23.3726739850307	4.13545020630201e-09	1.31807177890104e-08
TMEM204	1.5488119047619	6.40528260869565	23.3248879768242	4.24776530484759e-09	1.34316689481347e-08
LTC4S	-1.17925952380953	7.55193913043478	23.1062383221894	4.80391753532807e-09	1.50711138363234e-08
TMEM119	1.72076309523809	5.8497	22.9569323802619	5.22709131659166e-09	1.63346603643489e-08
LTBR	1.20541071428571	5.65746739130435	22.8831049762163	5.45058178226855e-09	1.6952725987476e-08
C4A	1.09425	8.19393913043478	22.8777250111792	5.46725413096101e-09	1.6952725987476e-08
TCIRG1	1.17839642857143	6.73909782608696	22.8359534557849	5.59853263473955e-09	1.72927648949484e-08
IFITM2	1.05233452380952	8.58914565217391	22.7419199787809	5.90627533534197e-09	1.8034428504861e-08
TNFRSF25	-1.29048333333333	9.58599782608696	22.7188182228372	5.98455565610842e-09	1.82039715775161e-08
IL6R	1.12505595238095	6.41077173913043	22.612075924304	6.36060726429127e-09	1.92745674675493e-08
ITGA6	1.79377261904762	7.39383695652174	22.4085926448922	7.14760284550979e-09	2.14965499113076e-08
LST1	1.35302976190476	6.51456956521739	22.2425095872405	7.86529183729143e-09	2.3391202490086e-08
OSGIN1	1.6513	5.38709782608696	21.9859758216775	9.12567563974254e-09	2.69392638811588e-08
SRGN	1.02855119047619	8.59046956521739	21.7332760141193	1.05752009765759e-08	3.0989599931358e-08
ICAM2	1.26969285714285	7.00125217391304	21.6393941235674	1.11734261389505e-08	3.26176758814105e-08
SLCO2B1	1.46820119047619	8.33875652173913	21.6334726758318	1.12123260842349e-08	3.26176758814105e-08
TGM2	1.12285833333333	7.68207826086957	21.3251846539998	1.34466845472227e-08	3.85568015690973e-08
ANXA1	1.53717738095238	7.53797826086956	21.1652236424073	1.4785213365049e-08	4.2093134135371e-08
P2RY12	2.08325357142857	7.67963913043478	21.0532822713816	1.58043411994635e-08	4.4835010494932e-08
MYORG	1.86913571428571	8.61968695652174	20.7347384348759	1.91269957798264e-08	5.36898127153023e-08
NOSTRIN	1.43373809523809	6.62778260869565	20.521879743641	2.17487348247597e-08	5.97903362879993e-08
MSN	1.25302380952381	8.65892173913043	20.4219711664045	2.31064668892576e-08	6.33053887376919e-08
SLC6A1	1.48951904761904	10.2293804347826	20.2243337894528	2.60601652876579e-08	7.06716346783942e-08
WAS	1.15989523809524	6.08466739130435	20.2170139460842	2.61768690474199e-08	7.07482947227566e-08
GBP2	1.30761428571428	6.62975652173913	20.0940499622513	2.82212579005951e-08	7.57617661760942e-08
MAFF	1.312275	5.87636304347826	20.0235395400773	2.94682974052547e-08	7.88449428903134e-08
GFAP	2.01740476190476	14.8568260869565	19.94518330025	3.09219916257354e-08	8.21846953507919e-08
EMP1	1.14383928571428	7.50747608695652	19.9326841206799	3.11607331491225e-08	8.22725627699604e-08
MCM2	-1.27744166666667	5.68326739130435	19.8610255672615	3.25671892394432e-08	8.5422135710015e-08
C1QB	1.49847380952381	7.93714130434783	19.7884468474318	3.40595659511318e-08	8.90446168657042e-08
PTX3	-1.04004880952381	5.63637391304348	19.7809702851909	3.42173143383932e-08	8.91656399697541e-08
LAIR1	1.53744880952381	5.96773913043478	19.7368394218993	3.51641393575422e-08	9.12001960801787e-08
MYC	1.08572619047619	6.42915434782609	19.732830603701	3.5251495901096e-08	9.12001960801787e-08
ST8SIA6	1.36179404761905	5.78354347826087	19.7287762365375	3.53400759810693e-08	9.12001960801787e-08
MAG	2.36760714285714	8.1229152173913	19.6686755574711	3.66808252542986e-08	9.4053398087945e-08
FA2H	2.11696547619048	6.95444782608696	19.5491447546402	3.95079943518323e-08	1.00657310450528e-07
CYP27A1	1.1684369047619	7.23697608695652	19.2337286615536	4.81183496816481e-08	1.22205332524821e-07
EGFR	1.30532261904762	6.84832826086957	18.8001429837718	6.32856473103001e-08	1.59075177921328e-07
DOCK2	1.58247380952381	5.89195652173913	18.7965301167806	6.34312271961295e-08	1.59075177921328e-07
LILRB4	1.53660952380952	6.1231847826087	18.5197361385478	7.56957535968087e-08	1.88649853200769e-07
CRIP1	1.60587023809523	6.20446086956522	18.3956200406604	8.1978446521952e-08	2.01793099130959e-07
TLR9	-1.01164047619048	5.96090869565217	18.2765314330839	8.85208488004967e-08	2.14595997092113e-07
UGT8	1.54769880952381	8.3705652173913	18.189244694308	9.36616915390335e-08	2.25690822985623e-07
CD68	1.21370714285714	6.4148652173913	17.7759776765922	1.22606386319578e-07	2.88485614869595e-07
NINJ2	1.60503333333333	5.20798043478261	17.7470220463852	1.24957426219573e-07	2.92298073028241e-07
IL15RA	1.23839166666666	4.99898913043478	17.5613251315469	1.41200645052843e-07	3.24599184029524e-07
VAV1	1.26727976190476	5.0167847826087	17.3064578727173	1.67175230449408e-07	3.78867377789027e-07
OLFML3	1.65200357142857	6.18209347826087	16.9204725533989	2.16438344288252e-07	4.83661104554753e-07
TNFSF12	1.38905714285714	7.18445434782609	16.8175886422793	2.31983863415918e-07	5.15519696479818e-07
ALDH1L1	1.37170952380952	8.82783695652174	16.7822200359353	2.37594129303051e-07	5.25069899012268e-07
LSR	1.15932380952381	6.44557826086957	16.448776909073	2.98017094102694e-07	6.49628543003147e-07
FCER1G	1.35642142857143	6.82658695652174	16.3466747274612	3.19580366941248e-07	6.92857164100267e-07
AIF1	1.54349166666666	7.98315869565217	16.3339602097469	3.22377676625801e-07	6.97032814326057e-07
S100A10	1.14073928571428	7.89512608695652	16.3194346165378	3.25604811280314e-07	7.02112800604451e-07
SYK	1.26960714285714	5.23703260869565	16.3060075690366	3.28617944700128e-07	7.06705257419631e-07
NPNT	1.32417142857143	5.04453913043478	16.2191361232987	3.48830849759989e-07	7.44172479487976e-07
CD74	1.21556309523809	9.46875217391304	16.1547187876052	3.64656533252983e-07	7.73806967115083e-07
ADRA2A	1.67392023809524	6.24871086956522	16.1462314532707	3.66796976026134e-07	7.74241638049888e-07
GPR34	1.61941785714285	6.99974130434783	16.0615541206309	3.88885806785083e-07	8.16558124483113e-07
BLNK	1.31082976190476	5.05367391304348	15.8166720197483	4.60950106628568e-07	9.57818403384037e-07
MBD3	1.071425	10.0744108695652	15.7307892967369	4.8942360755547e-07	1.01172838771157e-06
ITGAX	1.54601071428571	6.93385	15.6165066616342	5.30194924309127e-07	1.0903751656743e-06
RHOA	1.22125119047619	8.36593913043478	15.5768550261756	5.45158308595068e-07	1.11827345352834e-06
CLDN5	1.24651309523809	8.43925434782609	15.4705426592694	5.87498196074861e-07	1.19288973822307e-06
RAC2	1.16940833333333	4.8665	15.361812531414	6.34373638711853e-07	1.27512289188312e-06
CASP8	1.22955595238095	5.10708695652174	15.3093870451009	6.58357580767257e-07	1.31343158257807e-06
SLC1A3	1.83032976190475	12.4126065217391	14.766886020146	9.70222803539914e-07	1.91176907101461e-06
GJA1	1.87655714285714	10.2722260869565	14.537042254496	1.14587277387642e-06	2.21960827869525e-06
DOT1L	-1.00893571428571	4.88226086956522	14.3577449670128	1.30585355467608e-06	2.50523463726827e-06
LRRC25	1.24368928571428	5.1824652173913	14.3349725362293	1.32778476455367e-06	2.53514990845569e-06
FAS	1.014575	5.37882826086957	14.268518788741	1.39401356868461e-06	2.65526394035164e-06
CSF3R	1.28084642857143	6.03538043478261	13.5642897446014	2.3508809181769e-06	4.35871125479371e-06
PIK3R5	1.27054404761905	5.31281956521739	13.2331864114066	3.01887679158057e-06	5.51393021293254e-06
TNFSF10	1.06484761904762	6.47003260869565	12.9608379823767	3.71642756361169e-06	6.69626588038143e-06
CSF1R	1.15983095238095	5.13179130434783	12.6966140959117	4.55552807677833e-06	8.09871658093926e-06
GRAP	1.24574880952381	5.25682173913043	12.5197881253963	5.22599220888423e-06	9.18855772990634e-06
KCND1	-1.04923928571429	6.0688	12.2838745969835	6.28506136288219e-06	1.0906830998494e-05
LAMP2	1.08716547619047	10.7401391304348	11.9798202137246	7.99098297265983e-06	1.363067458023e-05
GJB1	1.71649642857143	6.33270217391304	11.9096490879562	8.44950761724334e-06	1.43211993512599e-05
GNA15	1.1747238095238	5.14360434782609	11.1376325246073	1.57597478601811e-05	2.58356522298051e-05
SERPING1	1.1606869047619	8.24343260869565	11.0246080118201	1.72914647784958e-05	2.8173466034209e-05
TYROBP	1.18239880952381	7.56247173913043	10.6234932674619	2.41084056444119e-05	3.88062867515684e-05
KCNK13	1.06458095238095	4.9141	10.4090047787999	2.88566794721859e-05	4.61706871554974e-05
TNFRSF10B	1.07611785714285	4.88202826086957	10.3540459299854	3.02241784565153e-05	4.82621612080084e-05
ITGB5	1.07280476190476	8.70209565217391	10.2816428198278	3.21298846067979e-05	5.11012081221437e-05
LGALS3	1.10100119047619	9.65895434782609	10.2498811233267	3.30051109467313e-05	5.22853242720496e-05
ENTPD2	1.35303571428571	5.38844347826087	10.244244720235	3.31630128318304e-05	5.24316408408385e-05
COTL1	1.04500952380952	8.80876304347826	10.1714240188072	3.52755473581922e-05	5.54429035099288e-05
PLA2G5	1.59777261904762	5.66919565217391	10.1515643017665	3.58757509083964e-05	5.62023009234892e-05
LIG1	-1.04489642857143	5.36591739130435	9.69605211532477	5.30154001811286e-05	8.09395422612651e-05
C3	1.42242499999999	7.55189782608696	8.92266342246586	0.000104547053864139	0.0001554603031437
CCL4	1.29682261904762	5.06497391304348	8.49226693442385	0.000153945184972307	0.000225974583445589
SIGLEC8	1.04021547619048	5.03701739130435	8.0031480951267	0.000240932673827503	0.000350447525567278
IRF8	1.15037976190476	5.90658043478261	7.86708227223377	0.000273336329286948	0.000394709500775377
SLC2A1	1.03242976190476	7.0964	7.54286836634039	0.000370259183352051	0.000530837538855987
MYCT1	1.00550833333333	5.42139782608696	7.3477837560247	0.00044531015944519	0.000633893465402406
CCL3	1.13430714285714	5.02533043478261	5.55585642945913	0.002606163073431	0.0034575961173214
CX3CR1	1.48330952380952	6.90127391304348	5.24866729682336	0.00357590669702777	0.0046515859473532
UNG	1.13221547619047	6.07169565217391	4.73130088960917	0.00614817937277359	0.0078696695971502
FCGR3A	1.09483571428571	5.83730217391304	4.35558615551408	0.00917917737153346	0.0115643179483886
